--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
456.459  000.250  000.250: require('lualine.highlight')
458.879  000.030  000.030: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
458.934  000.012  000.012: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
458.972  000.015  000.015: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
458.999  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.024  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.049  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.072  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.094  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.119  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.143  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.166  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.189  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.210  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.232  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.254  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.274  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.295  000.005  000.005: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.387  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.412  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.954  000.013  000.013: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
459.992  000.010  000.010: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
460.017  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
460.063  000.037  000.037: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.119  000.114  000.114: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.160  000.018  000.018: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.799  000.020  000.020: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.835  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.860  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.884  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.907  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.929  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.952  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
463.987  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
