--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
161.696  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.825  000.036  000.036: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
164.575  000.026  000.026: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
164.613  000.017  000.017: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.318  000.021  000.021: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.350  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.372  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.391  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.411  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.430  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.448  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.477  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.497  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.516  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.629  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.701  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.760  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.814  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.932  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.953  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.971  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
165.989  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.007  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.026  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.045  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.448  000.025  000.025: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.472  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.489  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
166.508  000.012  000.012: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.213  000.039  000.039: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.271  000.015  000.015: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.307  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.339  000.012  000.012: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.373  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.404  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.437  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.493  000.014  000.014: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.519  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.540  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.665  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.688  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.793  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.812  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.840  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.871  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.889  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.905  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.924  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.942  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.959  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
168.985  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
169.011  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
169.030  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
169.048  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
169.147  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
169.168  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
169.186  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
170.739  000.162  000.162: require('lualine.utils.mode')
170.912  000.043  000.043: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.103  000.018  000.018: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.138  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.160  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.185  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.205  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.224  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.249  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.282  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.307  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.327  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.352  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.371  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.654  000.012  000.012: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.690  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.802  000.010  000.010: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.829  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.952  000.112  000.112: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.978  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
171.995  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.012  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.035  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
